|id |id_categoria_produto|nome                               |descricao|createdAt                    |updatedAt                    |link_imagem                                                                                          |
|222|32                  |Mostarda                           |         |2024-12-18 21:27:28.148 -0300|2025-06-23 14:32:52.564 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/d1c68155-d877-4153-902b-b5f653f523f4.png|
|181|30                  |Queijo Coalho                      |         |2024-12-18 21:24:47.062 -0300|2025-06-23 14:39:07.320 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/7b557810-0871-4ff8-ad60-5878f7f5a7a2.png|
|137|34                  |Cervejas Pilsen                    |         |2024-12-18 21:17:17.657 -0300|2025-06-23 16:15:16.259 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/fda85d06-2fd2-45a4-9021-83a51774f42e.png|
|224|38                  |Snack de trigo                     |         |2024-12-18 21:27:32.929 -0300|2025-06-24 14:40:37.579 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/0a5b62ae-82fa-4ec3-aff4-10a3bbef5ab8.png|
|177|34                  |Cervejas Puro Malte                |         |2024-12-18 21:23:50.345 -0300|2025-10-07 17:41:58.251 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/011a3629-b603-4da0-8580-85060be3291d.png|
|415|36                  |Sorbet                             |         |2025-11-27 14:37:06.697 -0300|2025-11-27 14:37:06.697 -0300|                                                                                                     |
|116|29                  |Café com Leite                     |         |2024-12-18 21:13:57.300 -0300|2025-06-15 18:47:55.382 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/a0b0291d-52af-4216-981e-b678ca0a6df1.png|
|220|32                  |Passata de Tomate                  |         |2024-12-18 21:27:25.573 -0300|2025-06-17 17:17:54.254 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/606c0255-0e96-43ff-b107-8da1655ff176.png|
|218|32                  |Molho de Pimenta                   |         |2024-12-18 21:27:11.459 -0300|2025-06-17 17:18:41.284 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/925d8f6d-be54-4184-b4b3-bcd7c284abb8.png|
|215|37                  |Ervilha em Conserva                |         |2024-12-18 21:26:58.476 -0300|2025-06-17 17:19:46.539 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/7869be76-c029-4c32-9867-aaa3176380b9.png|
|213|32                  |Cogumelo em Conserva               |         |2024-12-18 21:26:55.984 -0300|2025-06-17 17:24:43.017 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/c9a3b2fc-10f0-4ba4-8a90-dca4907b9290.png|
|210|32                  |Abacaxi em Calda                   |         |2024-12-18 21:26:51.651 -0300|2025-06-17 17:25:46.653 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/f830ffc1-afdc-445b-9392-64285b99737f.png|
|206|30                  |Queijo Prato                       |         |2024-12-18 21:26:12.473 -0300|2025-06-17 17:27:05.934 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/326119cc-a6b4-4d8e-b006-4c14cd32a34f.png|
|204|30                  |Queijo Gouda                       |         |2024-12-18 21:26:09.596 -0300|2025-06-17 17:30:58.171 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/b1e50433-1a6c-41b3-8c4c-cc6d61077491.png|
|201|30                  |Queijo Camembert                   |         |2024-12-18 21:26:05.911 -0300|2025-06-17 17:32:03.774 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/5564b7f0-d724-459d-9624-9991bf8ac3bf.png|
|198|30                  |Queijo Parmesão                    |         |2024-12-18 21:26:00.160 -0300|2025-06-17 17:33:12.033 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/e320cf82-b72a-4b31-ac05-2a5d2c12bf03.png|
|196|30                  |Queijo Minas                       |         |2024-12-18 21:25:56.381 -0300|2025-06-17 17:33:54.654 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/415e064a-b70f-4382-9a4b-8d066bac4371.png|
|193|30                  |Queijo Azul                        |         |2024-12-18 21:25:52.506 -0300|2025-06-17 17:36:52.771 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/0d521ab4-a60d-4468-8f1a-b0b2b016ff54.png|
|191|36                  |Pizza Pronta                       |         |2024-12-18 21:25:34.681 -0300|2025-06-17 17:37:35.572 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/2491db66-dfb8-4869-baf2-2844ae8d79c3.png|
|242|32                  |Amendoim                           |         |2024-12-18 21:31:25.539 -0300|2025-06-23 14:21:21.415 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/824ba479-d049-4c35-b9af-a8f436f66b9b.png|
|264|37                  |Batata em Conserva                 |         |2024-12-18 21:37:34.597 -0300|2025-06-23 14:23:22.247 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/3bf1926b-9bfd-4d2c-b35c-02dcce0f1d2d.png|
|235|29                  |Néctar                             |         |2024-12-18 21:29:46.122 -0300|2025-06-23 14:33:57.031 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/18e4dabf-ef30-4506-b16a-d7b8e6abf36d.png|
|261|31                  |Salgado Congelado Vegetal          |         |2024-12-18 21:36:37.543 -0300|2025-06-23 14:58:59.651 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/07cd10e9-83cc-4859-b783-c2f5aaf04eb1.png|
|293|32                  |Feijão Branco                      |         |2024-12-18 21:46:35.572 -0300|2025-06-23 16:15:57.439 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/4b86dea3-555c-4647-b88e-ea37bfd215d5.png|
|295|32                  |Feijão Preto                       |         |2024-12-18 21:46:37.908 -0300|2025-06-23 16:17:05.628 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/ceaa2900-938b-478f-b62e-e7ba4147c04d.png|
|306|36                  |Hambúrguer                         |         |2024-12-18 21:48:19.618 -0300|2025-06-24 14:14:04.985 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/a63e3ea2-d8e7-49e9-ba67-302402bf7299.png|
|336|29                  |Composto Lácteo em Cápsula         |         |2024-12-18 21:55:44.052 -0300|2025-06-24 14:50:45.807 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/f583065b-3f31-4a0d-a862-4a67b3acfaf3.png|
|292|32                  |Feijão Carioca                     |         |2024-12-18 21:46:34.240 -0300|2025-06-24 15:45:18.244 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/a4b3afe4-276a-48ed-bfa5-f8c0b5fd013f.png|
|257|31                  |Atum de Plantas                    |         |2024-12-18 21:36:26.929 -0300|2025-10-07 17:40:48.956 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/01009bef-b799-472c-9625-d212373dd1be.png|
|253|38                  |Salgadinho de Batata               |         |2024-12-18 21:34:20.629 -0300|2025-10-07 17:47:19.375 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/42e97d4c-de7a-49a4-83f1-d312b8208442.png|
|275|29                  |Cerveja sem Álcool                 |         |2024-12-18 21:40:14.386 -0300|2025-10-16 17:44:25.153 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/ae6d6aa2-6601-4c76-bf16-ff314c89bf6d.png|
|416|39                  |Aveia                              |         |2025-11-27 14:37:06.697 -0300|2025-11-27 14:37:06.697 -0300|                                                                                                     |
|417|29                  |Café Moído                         |         |2025-11-27 14:37:06.697 -0300|2025-11-27 14:37:06.697 -0300|                                                                                                     |
|418|35                  |Wafer                              |         |2025-11-27 14:37:06.697 -0300|2025-11-27 14:37:06.697 -0300|                                                                                                     |
|333|36                  |Presunto                           |         |2024-12-18 21:53:19.961 -0300|2025-06-16 16:45:10.561 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/1b1a130f-56d1-4401-9634-dd2de0c5f57b.png|
|330|32                  |Vinagre Balsâmico                  |         |2024-12-18 21:53:10.055 -0300|2025-06-16 16:46:57.460 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/c4ce4bd6-6fe0-40df-92ce-9357249ec994.png|
|327|32                  |Molho Inglês                       |         |2024-12-18 21:52:39.699 -0300|2025-06-16 16:48:25.020 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/b6570ffa-ee01-400d-926f-7a1187cb8a7f.png|
|324|32                  |Adoçante                           |         |2024-12-18 21:52:01.535 -0300|2025-06-16 16:50:43.733 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/d49a096b-5989-420c-ae58-1dd8d31f0c6c.png|
|321|32                  |Especiaria                         |         |2024-12-18 21:50:59.869 -0300|2025-06-16 16:52:24.958 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/6dc354f7-e924-427c-870d-0b4037161aef.png|
|319|38                  |Pipoca Pronta Salgada              |         |2024-12-18 21:50:31.574 -0300|2025-06-16 16:53:27.269 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/d7da96e9-dda9-49d7-b1cb-d6d63366d1da.png|
|317|39                  |Mix de Sementes                    |         |2024-12-18 21:50:24.086 -0300|2025-06-16 16:54:26.631 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/a71ec5b3-2022-4c37-873d-07bae08bc9e8.png|
|314|39                  |Barra de Nuts                      |         |2024-12-18 21:49:53.500 -0300|2025-06-17 16:28:09.915 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/826632ee-0631-4c33-9043-32b6679aaff2.png|
|311|29                  |Chá                                |         |2024-12-18 21:49:38.166 -0300|2025-06-17 16:31:24.477 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/9b223087-d827-4a06-a185-fc66573dd0cd.png|
|307|32                  |Mel                                |         |2024-12-18 21:48:28.532 -0300|2025-06-17 16:33:38.131 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/9edb2cb3-5aff-4231-9102-c418e8c9e59a.png|
|304|32                  |Farinha de Milho                   |         |2024-12-18 21:47:58.765 -0300|2025-06-17 16:36:33.517 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/83533f77-c54b-4784-a003-2ea29b80770c.png|
|301|32                  |Arroz Agulhinha/Polido             |         |2024-12-18 21:47:31.558 -0300|2025-06-17 16:37:34.490 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/7419e6b8-95ac-4758-b3fb-e9135026a00c.png|
|298|32                  |Macarrão com Abóbora               |         |2024-12-18 21:47:09.720 -0300|2025-06-17 16:38:51.672 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/753412d0-f09d-4eaa-86be-f95ce2f6c62e.png|
|294|32                  |Feijão Fradinho                    |         |2024-12-18 21:46:36.788 -0300|2025-06-17 16:41:35.791 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/a63cbce6-73e7-4543-81f4-b06821393350.png|
|289|39                  |Barra de Cereal                    |         |2024-12-18 21:45:06.092 -0300|2025-06-17 16:42:20.370 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/a9d48cff-8290-4b62-9d5e-040a7e0d4a3b.png|
|285|33                  |Biscoito de Arroz                  |         |2024-12-18 21:44:46.056 -0300|2025-06-17 16:43:16.920 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/d1928ec9-04fe-4303-a8d5-e7cb2c0084a3.png|
|283|39                  |Granola                            |         |2024-12-18 21:44:23.037 -0300|2025-06-17 16:46:19.043 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/3af20799-ca55-48bc-b038-3c7f315c9d61.png|
|279|30                  |Coalhada                           |         |2024-12-18 21:43:13.714 -0300|2025-06-17 16:48:32.002 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/f13713bd-2603-453e-8092-4968f05d48d2.png|
|273|37                  |Sardinha em Conserva               |         |2024-12-18 21:39:38.225 -0300|2025-06-17 16:51:59.620 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/dfa8dd5c-6ead-48c6-ac14-45544930b00c.png|
|270|37                  |Azeitona em Conserva               |         |2024-12-18 21:38:38.875 -0300|2025-06-17 16:52:55.047 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/158a6c5e-b236-4b55-b529-bd8fd2b00609.png|
|266|32                  |Extrato de Tomate                  |         |2024-12-18 21:37:41.094 -0300|2025-06-17 16:54:15.778 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/7623232d-1930-4d80-8f20-eefc6852d60f.png|
|262|31                  |Linguiça Vegetal                   |         |2024-12-18 21:36:38.691 -0300|2025-06-17 16:57:59.546 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/807c0d3c-b6e0-4775-809c-77b81c5d9b9c.png|
|254|30                  |Doce de Leite                      |         |2024-12-18 21:34:48.485 -0300|2025-06-17 17:01:27.190 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/0936a170-998e-4875-8bf1-b465d31cc9e5.png|
|251|38                  |Salgadinhos                        |         |2024-12-18 21:32:46.918 -0300|2025-06-17 17:02:10.819 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/7c69dedf-4779-4b79-bfa9-d4ca94d2a3ae.png|
|247|33                  |Confeito                           |         |2024-12-18 21:31:59.195 -0300|2025-06-17 17:03:14.786 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/b9ae638b-1261-4cfa-b3fd-f44c7c9701fb.png|
|244|35                  |Balas Duras                        |         |2024-12-18 21:31:31.877 -0300|2025-06-17 17:05:44.381 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/8cbf2707-ec78-4915-a4d3-2abaf04e5565.png|
|239|32                  |Cacau em Pó                        |         |2024-12-18 21:30:35.695 -0300|2025-06-17 17:07:57.523 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/dab54dab-789c-40e9-93ad-4f712acdd588.png|
|237|29                  |Smoothie                           |         |2024-12-18 21:30:26.548 -0300|2025-06-17 17:08:35.608 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/8b066086-6891-4901-a29a-9f38483ee4d8.png|
|233|29                  |Bebida Açúcarada de Frutas         |         |2024-12-18 21:28:57.739 -0300|2025-06-17 17:11:31.437 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/3180bac5-a6ce-4f7e-ac90-ea9931e3697b.png|
|229|36                  |Mortadela                          |         |2024-12-18 21:28:36.378 -0300|2025-06-17 17:12:13.809 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/143693e7-de32-4f30-8cdd-6598f844c5bb.png|
|226|34                  |Bebida Mista e/ou Gaseificada      |         |2024-12-18 21:28:31.146 -0300|2025-06-17 17:13:14.804 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/79cce682-5ec9-4b51-b06c-b960611886df.png|
|337|29                  |Refresco em pó                     |         |2024-12-18 21:57:39.952 -0300|2024-12-18 21:57:39.952 -0300|                                                                                                     |
|184|30                  |Queijo Fundido                     |         |2024-12-18 21:24:59.288 -0300|2025-06-17 18:32:43.300 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/ff18b7d6-e15d-4aa8-9db5-709f51a470b3.png|
|161|33                  |Biscoito Cookie                    |         |2024-12-18 21:20:17.699 -0300|2025-06-18 16:33:54.305 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/f3a757ac-0c67-449d-92ca-5b539d2cd21f.png|
|160|33                  |Biscoito Doce                      |         |2024-12-18 21:20:10.724 -0300|2025-06-18 16:34:24.354 -0300|https://dimo.nyc3.digitaloceanspaces.com/foodtest_production/cdb3f689-4122-4c20-80e0-e4746e054f72.png|
