|id |id_grupo_usuario|id_permissao|createdAt                    |updatedAt                    |
|---|----------------|------------|-----------------------------|-----------------------------|
|1  |1               |1           |2024-06-04 11:41:01.451 -0300|2024-06-04 11:41:01.451 -0300|
|2  |1               |2           |2024-06-04 11:41:01.580 -0300|2024-06-04 11:41:01.580 -0300|
|3  |1               |3           |2024-06-04 11:41:01.709 -0300|2024-06-04 11:41:01.709 -0300|
|4  |1               |4           |2024-06-04 11:41:01.837 -0300|2024-06-04 11:41:01.837 -0300|
|5  |1               |5           |2024-06-04 11:41:01.964 -0300|2024-06-04 11:41:01.964 -0300|
|6  |1               |6           |2024-06-04 11:41:02.090 -0300|2024-06-04 11:41:02.090 -0300|
|7  |1               |7           |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|8  |1               |8           |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|9  |1               |9           |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|10 |1               |10          |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|11 |1               |11          |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|12 |1               |12          |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|13 |1               |13          |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|14 |1               |14          |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|15 |1               |15          |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|16 |1               |16          |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|17 |1               |17          |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|18 |1               |18          |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|19 |1               |19          |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|20 |1               |20          |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|21 |1               |21          |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|22 |1               |22          |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|23 |1               |23          |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|24 |1               |24          |2024-06-04 12:19:07.070 -0300|2024-06-04 12:19:07.070 -0300|
|25 |3               |10          |2024-06-26 17:32:35.516 -0300|2024-06-26 17:32:35.516 -0300|
|26 |3               |13          |2024-06-26 17:32:35.516 -0300|2024-06-26 17:32:35.516 -0300|
