|id |nome                     |id_estado|createdAt                    |updatedAt                    |
|57 |Capixaba                 |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|58 |Cruzeiro do Sul          |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|59 |Epitaciolândia           |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|60 |Feijó                    |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|61 |Jordão                   |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|62 |Mâncio Lima              |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|63 |Manoel Urbano            |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|64 |Marechal Thaumaturgo     |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|65 |Plácido de Castro        |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|66 |Porto Walter             |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|67 |Rio Branco               |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|68 |Rodrigues Alves          |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|69 |Santa Rosa do Purus      |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|70 |Senador Guiomard         |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|71 |Sena Madureira           |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|72 |Tarauacá                 |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|73 |Xapuri                   |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|74 |Porto Acre               |2        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|75 |Alvarães                 |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|76 |Amaturá                  |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|77 |Anamã                    |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|78 |Anori                    |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|79 |Apuí                     |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|80 |Atalaia do Norte         |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|81 |Autazes                  |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|82 |Barcelos                 |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|83 |Barreirinha              |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|84 |Benjamin Constant        |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|85 |Beruri                   |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|86 |Boa Vista do Ramos       |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|87 |Boca do Acre             |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|88 |Borba                    |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|89 |Caapiranga               |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|90 |Canutama                 |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|91 |Carauari                 |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|92 |Careiro                  |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|93 |Careiro da Várzea        |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|94 |Coari                    |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|95 |Codajás                  |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|96 |Eirunepé                 |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|97 |Envira                   |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|98 |Fonte Boa                |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|99 |Guajará                  |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|100|Humaitá                  |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|101|Ipixuna                  |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|102|Iranduba                 |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|103|Itacoatiara              |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|104|Itamarati                |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|105|Itapiranga               |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|106|Japurá                   |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|107|Juruá                    |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|108|Jutaí                    |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|109|Lábrea                   |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|110|Manacapuru               |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|111|Manaquiri                |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|112|Manaus                   |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|113|Manicoré                 |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|114|Maraã                    |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|115|Maués                    |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|116|Nhamundá                 |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|117|Nova Olinda do Norte     |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|118|Novo Airão               |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|119|Novo Aripuanã            |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|120|Parintins                |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|121|Pauini                   |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|122|Presidente Figueiredo    |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|123|Rio Preto da Eva         |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|124|Santa Isabel do Rio Negro|3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|125|Santo Antônio do Içá     |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|126|São Gabriel da Cachoeira |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|127|São Paulo de Olivença    |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|128|São Sebastião do Uatumã  |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|129|Silves                   |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|130|Tabatinga                |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|131|Tapauá                   |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|132|Tefé                     |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|133|Tonantins                |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|134|Uarini                   |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|135|Urucará                  |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|136|Urucurituba              |3        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|137|Amajari                  |4        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|138|Alto Alegre              |4        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|139|Boa Vista                |4        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|140|Bonfim                   |4        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|141|Cantá                    |4        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|142|Caracaraí                |4        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|143|Caroebe                  |4        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|144|Iracema                  |4        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|145|Mucajaí                  |4        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|146|Normandia                |4        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|147|Pacaraima                |4        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|148|Rorainópolis             |4        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|149|São João da Baliza       |4        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|150|São Luiz                 |4        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|151|Uiramutã                 |4        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|152|Abaetetuba               |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|153|Abel Figueiredo          |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|154|Acará                    |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|155|Afuá                     |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|156|Água Azul do Norte       |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|157|Alenquer                 |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|158|Almeirim                 |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|159|Altamira                 |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|160|Anajás                   |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|161|Ananindeua               |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|162|Anapu                    |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|163|Augusto Corrêa           |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|164|Aurora do Pará           |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|165|Aveiro                   |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|166|Bagre                    |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|167|Baião                    |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|168|Bannach                  |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|169|Barcarena                |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|170|Belém                    |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|171|Belterra                 |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|172|Benevides                |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|173|Bom Jesus do Tocantins   |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|174|Bonito                   |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|175|Bragança                 |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|176|Brasil Novo              |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|177|Brejo Grande do Araguaia |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|178|Breu Branco              |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|179|Breves                   |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|180|Bujaru                   |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|181|Cachoeira do Piriá       |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|182|Cachoeira do Arari       |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|183|Cametá                   |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|184|Canaã Dos Carajás        |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|185|Capanema                 |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|186|Capitão Poço             |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|187|Castanhal                |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|188|Chaves                   |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|189|Colares                  |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|190|Conceição do Araguaia    |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|191|Concórdia do Pará        |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|192|Cumaru do Norte          |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|193|Curionópolis             |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|194|Curralinho               |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|195|Curuá                    |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|196|Curuçá                   |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|197|Dom Eliseu               |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|198|Eldorado Dos Carajás     |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|199|Faro                     |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|200|Floresta do Araguaia      |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|201|Garrafão do Norte         |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|202|Goianésia do Pará         |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|203|Gurupá                    |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|204|Igarapé-açu               |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|205|Igarapé-miri              |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|206|Inhangapi                 |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|207|Ipixuna do Pará           |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|208|Irituia                   |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|209|Itaituba                  |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|210|Itupiranga                |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|211|Jacareacanga              |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|212|Jacundá                   |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|213|Juruti                    |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|214|Limoeiro do Ajuru         |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|215|Mãe do Rio                |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|216|Magalhães Barata          |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|217|Marabá                    |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|218|Maracanã                  |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|219|Marapanim                 |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|220|Marituba                  |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|221|Medicilândia              |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|222|Melgaço                   |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|223|Mocajuba                  |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|224|Moju                      |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|225|Mojuí dos Campos          |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|226|Monte Alegre              |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|227|Muaná                     |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|228|Nova Esperança do Piriá   |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|229|Nova Ipixuna              |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|230|Nova Timboteua            |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|231|Novo Progresso            |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|232|Novo Repartimento         |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|233|Óbidos                    |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|234|Oeiras do Pará            |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|235|Oriximiná                 |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|236|Ourém                     |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|237|Ourilândia do Norte       |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|238|Pacajá                    |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|239|Palestina do Pará         |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|240|Paragominas               |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|241|Parauapebas               |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|242|Pau D´arco                |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|243|Peixe-boi                 |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|244|Piçarra                   |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|245|Placas                    |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|246|Ponta de Pedras           |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|247|Portel                    |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
|248|Porto de Moz              |5        |2024-06-04 11:40:53.463 -0300|2024-06-04 11:40:53.463 -0300|
