|id |id_pesquisa_subcategoria|id_usuario|id_produto|pontos_ganhos|resposta                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |createdAt                    |updatedAt                    |id_pesquisa_produto|
|173|29                      |57        |2.372     |50           |"[{\"id_pergunta_pesquisa\":299,\"resposta\":\"Ocasionalmente (uma vez a cada 1-2 meses)\"},{\"id_pergunta_pesquisa\":300,\"resposta\":\"Muito frequentemente (todos os dias)\"},{\"id_pergunta_pesquisa\":301,\"resposta\":\"Meus filhos(as)\"},{\"id_pergunta_pesquisa\":302,\"resposta\":[\"Para experimentar novos sabores e marcas\"]},{\"id_pergunta_pesquisa\":303,\"resposta\":[\"Pacote refil econômico (175g - 600g) \"]},{\"id_pergunta_pesquisa\":304,\"resposta\":[\"Não compra\",\"Compra\",\"Não compra\",\"Não compra\",\"Compra\",\"Compra\",\"Não compra\",\"Compra\",\"Não compra\"]},{\"id_pergunta_pesquisa\":305,\"resposta\":[\"Preço acessível\",\"Embalagem prática e que mantém o frescor por mais tempo\"]},{\"id_pergunta_pesquisa\":306,\"resposta\":[\"Em momentos de desejo por algo doce\",\"Como lanche da manhã\"]},{\"id_pergunta_pesquisa\":307,\"resposta\":[\"Na escola ou faculdade\"]},{\"id_pergunta_pesquisa\":308,\"resposta\":[\"Qualidade dos ingredientes (ex.: sem corantes artificiais, mais naturais)\",\"Quantidade de açúcar presente na composição\",\"Tabela nutricional\"]}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |2025-02-24 10:02:22.115 -0300|2025-02-24 10:02:22.115 -0300|                   |
|174|29                      |53        |2.372     |50           |"[{\"id_pergunta_pesquisa\":299,\"resposta\":\"Raramente (menos de uma vez a cada dois meses)\"},{\"id_pergunta_pesquisa\":300,\"resposta\":\"Ocasionalmente (1-3 vezes por mês)\"},{\"id_pergunta_pesquisa\":301,\"resposta\":\"Meu parceiro(a)\"},{\"id_pergunta_pesquisa\":302,\"resposta\":[\"Pela praticidade no preparo rápido\",\"Para preparar leite achocolatado para crianças\",\"Para levar como opção de bebida para o trabalho ou escola\"]},{\"id_pergunta_pesquisa\":303,\"resposta\":[\"Kit promocional com brinde (copo, colher, colher dosadora, etc.)\",\"Pote plástico médio (500g - 750g) \"]},{\"id_pergunta_pesquisa\":304,\"resposta\":[\"Compra\",\"Compra\",\"Compra\",\"Não compra\",\"Não compra\",\"Compra\",\"Compra\",\"Não compra\",\"Compra\"]},{\"id_pergunta_pesquisa\":305,\"resposta\":[\"Sabor equilibrado e intensidade do chocolate\",\"Presença de selos como \\"menos açúcar\\", \\"fortificado com vitaminas e minerais\\", \\"zero lactose\\"\"]},{\"id_pergunta_pesquisa\":306,\"resposta\":[\"Como acompanhamento no almoço ou jantar\",\"No café da manhã\"]},{\"id_pergunta_pesquisa\":307,\"resposta\":[\"Outros locais (Quais?)\"]},{\"id_pergunta_pesquisa\":308,\"resposta\":[\"Qualidade dos ingredientes (ex.: sem corantes artificiais, mais naturais)\",\"Outros fatores (Quais?)\",{\"extra_Outros locais (Quais?)\":\"Na casa de amigos\"},{\"extra_Outros fatores (Quais?)\":\"Sabor\"}]}]"                                                                                                                                                                                                                                                                                                        |2025-02-24 10:03:16.456 -0300|2025-02-24 10:03:16.456 -0300|                   |
|175|29                      |52        |2.372     |50           |"[{\"id_pergunta_pesquisa\":299,\"resposta\":\"Ocasionalmente (uma vez a cada 1-2 meses)\"},{\"id_pergunta_pesquisa\":300,\"resposta\":\"Muito frequentemente (todos os dias)\"},{\"id_pergunta_pesquisa\":301,\"resposta\":\"Outra pessoa na minha casa\"},{\"id_pergunta_pesquisa\":302,\"resposta\":[\"Para ter sempre uma opção doce disponível em casa\",\"Para levar como opção de bebida para o trabalho ou escola\",\"Para preparar leite achocolatado para crianças\"]},{\"id_pergunta_pesquisa\":303,\"resposta\":[\"Pote plástico pequeno (200g - 400g)\",\"Pacote refil econômico (175g - 600g) \"]},{\"id_pergunta_pesquisa\":304,\"resposta\":[\"Não compra\",\"Não compra\",\"Compra\",\"Compra\",\"Não compra\",\"Não compra\",\"Compra\",\"Compra\",\"Não compra\"]},{\"id_pergunta_pesquisa\":305,\"resposta\":[\"Quantidade de açúcar presente na composição\",\"Facilidade de dissolução no leite quente ou frio\",\"Presença de selos como \\"menos açúcar\\", \\"fortificado com vitaminas e minerais\\", \\"zero lactose\\"\",\"Embalagem prática e que mantém o frescor por mais tempo\"]},{\"id_pergunta_pesquisa\":306,\"resposta\":[\"No café da manhã\",\"No lanche da tarde\"]},{\"id_pergunta_pesquisa\":307,\"resposta\":[\"No trabalho\",\"Em casa\"]},{\"id_pergunta_pesquisa\":308,\"resposta\":[\"Marca conhecida ou de confiança\",\"Tabela nutricional\",\"Sabor e intensidade do chocolate\"]}]"                                                                                                                                                                                                                                                                                                                        |2025-02-24 10:04:04.440 -0300|2025-02-24 10:04:04.440 -0300|                   |
|176|29                      |51        |2.372     |50           |"[{\"id_pergunta_pesquisa\":299,\"resposta\":\"Frequentemente (1-2 vezes por mês)\"},{\"id_pergunta_pesquisa\":300,\"resposta\":\"Frequentemente (3-5 vezes por semana)\"},{\"id_pergunta_pesquisa\":301,\"resposta\":\"Outra pessoa na minha casa\"},{\"id_pergunta_pesquisa\":302,\"resposta\":[\"Para usar em receitas como bolos e sobremesas\"]},{\"id_pergunta_pesquisa\":303,\"resposta\":[\"Pote plástico grande (acima de 1kg)\"]},{\"id_pergunta_pesquisa\":304,\"resposta\":[\"Não compra\",\"Compra\",\"Compra\",\"Não compra\",\"Não compra\",\"Compra\",\"Não compra\",\"Compra\",\"Não compra\"]},{\"id_pergunta_pesquisa\":305,\"resposta\":[\"Preço acessível\"]},{\"id_pergunta_pesquisa\":306,\"resposta\":[\"Como lanche da manhã\",\"Durante o trabalho ou estudo\"]},{\"id_pergunta_pesquisa\":307,\"resposta\":[\"Em casa\"]},{\"id_pergunta_pesquisa\":308,\"resposta\":[\"Presença de selos como \\"fortificado\\", \\"menos açúcar\\", \\"zero lactose\\"\"]}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |2025-02-24 10:05:12.188 -0300|2025-02-24 10:05:12.188 -0300|                   |
|177|                        |51        |2.371     |50           |"[{\"id_pergunta_pesquisa\":536,\"resposta\":\"1 unidade\"},{\"id_pergunta_pesquisa\":537,\"resposta\":\"Não estou\"},{\"id_pergunta_pesquisa\":533,\"resposta\":[\"Aparência\",\"Cor\"]},{\"id_pergunta_pesquisa\":534,\"resposta\":[\"Dulçor\",\"Formação de bolinhas\"]},{\"id_pergunta_pesquisa\":535,\"resposta\":\"Provavelmente não compraria\"},{\"id_pergunta_pesquisa\":531,\"resposta\":\"5\"},{\"id_pergunta_pesquisa\":532,\"resposta\":\"5\"},{\"id_pergunta_pesquisa\":528,\"resposta\":\"7\"},{\"id_pergunta_pesquisa\":529,\"resposta\":\"3\"},{\"id_pergunta_pesquisa\":530,\"resposta\":\"3\"}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |2025-02-24 10:44:59.590 -0300|2025-02-24 10:44:59.590 -0300|3                  |
|178|                        |57        |2.371     |50           |"[{\"id_pergunta_pesquisa\":536,\"resposta\":\"2 unidades\"},{\"id_pergunta_pesquisa\":537,\"resposta\":\"Não estou\"},{\"id_pergunta_pesquisa\":533,\"resposta\":[\"Sabor\",\"Textura\"]},{\"id_pergunta_pesquisa\":534,\"resposta\":[\"Dulçor\",\"Aparência\"]},{\"id_pergunta_pesquisa\":535,\"resposta\":\"Certamente compraria\"},{\"id_pergunta_pesquisa\":531,\"resposta\":\"2\"},{\"id_pergunta_pesquisa\":532,\"resposta\":\"1\"},{\"id_pergunta_pesquisa\":528,\"resposta\":\"1\"},{\"id_pergunta_pesquisa\":529,\"resposta\":\"9\"},{\"id_pergunta_pesquisa\":530,\"resposta\":\"7\"}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |2025-02-24 10:45:39.437 -0300|2025-02-24 10:45:39.437 -0300|3                  |
|179|                        |53        |2.371     |50           |"[{\"id_pergunta_pesquisa\":536,\"resposta\":\"3 unidades\"},{\"id_pergunta_pesquisa\":537,\"resposta\":\"Não estou\"},{\"id_pergunta_pesquisa\":533,\"resposta\":[\"Sabor\"]},{\"id_pergunta_pesquisa\":534,\"resposta\":[\"Dulçor\"]},{\"id_pergunta_pesquisa\":535,\"resposta\":\"Provavelmente não compraria\"},{\"id_pergunta_pesquisa\":531,\"resposta\":\"4\"},{\"id_pergunta_pesquisa\":532,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":528,\"resposta\":\"6\"},{\"id_pergunta_pesquisa\":529,\"resposta\":\"4\"},{\"id_pergunta_pesquisa\":530,\"resposta\":\"9\"}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |2025-02-24 10:46:12.543 -0300|2025-02-24 10:46:12.543 -0300|3                  |
|180|                        |52        |2.371     |50           |"[{\"id_pergunta_pesquisa\":536,\"resposta\":\"2 unidades\"},{\"id_pergunta_pesquisa\":537,\"resposta\":\"Não estou\"},{\"id_pergunta_pesquisa\":533,\"resposta\":[\"Sabor\"]},{\"id_pergunta_pesquisa\":534,\"resposta\":[\"Dulçor\"]},{\"id_pergunta_pesquisa\":535,\"resposta\":\"Talvez compraria/talvez não compraria\"},{\"id_pergunta_pesquisa\":531,\"resposta\":\"7\"},{\"id_pergunta_pesquisa\":532,\"resposta\":\"4\"},{\"id_pergunta_pesquisa\":528,\"resposta\":\"7\"},{\"id_pergunta_pesquisa\":529,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":530,\"resposta\":\"7\"}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |2025-02-24 10:47:39.967 -0300|2025-02-24 10:47:39.967 -0300|3                  |
|181|                        |56        |2.371     |50           |"[{\"id_pergunta_pesquisa\":536,\"resposta\":\"3 unidades\"},{\"id_pergunta_pesquisa\":537,\"resposta\":\"Sim\"},{\"id_pergunta_pesquisa\":533,\"resposta\":[\"Aparência\"]},{\"id_pergunta_pesquisa\":534,\"resposta\":[\"Formação de bolinhas\"]},{\"id_pergunta_pesquisa\":535,\"resposta\":\"Provavelmente compraria\"},{\"id_pergunta_pesquisa\":531,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":532,\"resposta\":\"7\"},{\"id_pergunta_pesquisa\":528,\"resposta\":\"6\"},{\"id_pergunta_pesquisa\":529,\"resposta\":\"9\"},{\"id_pergunta_pesquisa\":530,\"resposta\":\"7\"}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |2025-02-24 10:48:36.654 -0300|2025-02-24 10:48:36.654 -0300|3                  |
|182|                        |56        |2.372     |50           |"[{\"id_pergunta_pesquisa\":536,\"resposta\":\"3 unidades\"},{\"id_pergunta_pesquisa\":537,\"resposta\":\"Não estou\"},{\"id_pergunta_pesquisa\":533,\"resposta\":[\"Cor\"]},{\"id_pergunta_pesquisa\":534,\"resposta\":[\"Cor\"]},{\"id_pergunta_pesquisa\":535,\"resposta\":\"Certamente não compraria\"},{\"id_pergunta_pesquisa\":531,\"resposta\":\"1\"},{\"id_pergunta_pesquisa\":532,\"resposta\":\"1\"},{\"id_pergunta_pesquisa\":528,\"resposta\":\"1\"},{\"id_pergunta_pesquisa\":529,\"resposta\":\"1\"},{\"id_pergunta_pesquisa\":530,\"resposta\":\"1\"}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |2025-02-24 10:52:14.052 -0300|2025-02-24 10:52:14.052 -0300|3                  |
|183|                        |57        |2.372     |50           |"[{\"id_pergunta_pesquisa\":536,\"resposta\":\"2 unidades\"},{\"id_pergunta_pesquisa\":537,\"resposta\":\"Não estou\"},{\"id_pergunta_pesquisa\":533,\"resposta\":[\"Textura\"]},{\"id_pergunta_pesquisa\":534,\"resposta\":[\"Textura\"]},{\"id_pergunta_pesquisa\":535,\"resposta\":\"Provavelmente não compraria\"},{\"id_pergunta_pesquisa\":531,\"resposta\":\"2\"},{\"id_pergunta_pesquisa\":532,\"resposta\":\"2\"},{\"id_pergunta_pesquisa\":528,\"resposta\":\"2\"},{\"id_pergunta_pesquisa\":529,\"resposta\":\"2\"},{\"id_pergunta_pesquisa\":530,\"resposta\":\"2\"}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |2025-02-24 10:52:56.945 -0300|2025-02-24 10:52:56.945 -0300|3                  |
|184|                        |53        |2.372     |50           |"[{\"id_pergunta_pesquisa\":536,\"resposta\":\"3 unidades\"},{\"id_pergunta_pesquisa\":537,\"resposta\":\"Sim\"},{\"id_pergunta_pesquisa\":533,\"resposta\":[\"Dulçor\"]},{\"id_pergunta_pesquisa\":534,\"resposta\":[\"Dulçor\"]},{\"id_pergunta_pesquisa\":535,\"resposta\":\"Provavelmente compraria\"},{\"id_pergunta_pesquisa\":531,\"resposta\":\"3\"},{\"id_pergunta_pesquisa\":532,\"resposta\":\"3\"},{\"id_pergunta_pesquisa\":528,\"resposta\":\"3\"},{\"id_pergunta_pesquisa\":529,\"resposta\":\"3\"},{\"id_pergunta_pesquisa\":530,\"resposta\":\"3\"}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |2025-02-24 10:54:38.911 -0300|2025-02-24 10:54:38.911 -0300|3                  |
|185|                        |52        |2.372     |50           |"[{\"id_pergunta_pesquisa\":536,\"resposta\":\"4 unidades\"},{\"id_pergunta_pesquisa\":537,\"resposta\":\"Não estou\"},{\"id_pergunta_pesquisa\":533,\"resposta\":[\"Sabor\"]},{\"id_pergunta_pesquisa\":534,\"resposta\":[\"Sabor\"]},{\"id_pergunta_pesquisa\":535,\"resposta\":\"Provavelmente compraria\"},{\"id_pergunta_pesquisa\":531,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":532,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":528,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":529,\"resposta\":\"8\"},{\"id_pergunta_pesquisa\":530,\"resposta\":\"8\"}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2025-02-24 10:55:08.549 -0300|2025-02-24 10:55:08.549 -0300|3                  |
|186|                        |51        |2.372     |50           |"[{\"id_pergunta_pesquisa\":536,\"resposta\":\"5 unidades ou mais\"},{\"id_pergunta_pesquisa\":537,\"resposta\":\"Não estou\"},{\"id_pergunta_pesquisa\":533,\"resposta\":[\"Formação de bolinhas\"]},{\"id_pergunta_pesquisa\":534,\"resposta\":[\"Formação de bolinhas\"]},{\"id_pergunta_pesquisa\":535,\"resposta\":\"Certamente compraria\"},{\"id_pergunta_pesquisa\":531,\"resposta\":\"6\"},{\"id_pergunta_pesquisa\":532,\"resposta\":\"6\"},{\"id_pergunta_pesquisa\":528,\"resposta\":\"6\"},{\"id_pergunta_pesquisa\":529,\"resposta\":\"6\"},{\"id_pergunta_pesquisa\":530,\"resposta\":\"6\"}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |2025-02-24 10:56:19.527 -0300|2025-02-24 10:56:19.527 -0300|3                  |
