|id |nome              |createdAt                    |updatedAt                    |deletedAt                    |id_empresa|link_imagem                                                                                           |
|58 |GUARANI           |2025-03-10 13:48:52.289 -0300|2025-03-10 13:48:52.289 -0300|                             |169       |                                                                                                      |
|60 |HEINEKEN          |2025-03-10 13:48:52.702 -0300|2025-03-10 13:48:52.702 -0300|                             |141       |                                                                                                      |
|61 |HEINZ             |2025-03-10 13:48:52.914 -0300|2025-03-10 13:48:52.914 -0300|                             |170       |                                                                                                      |
|62 |HELLMANN'S        |2025-03-10 13:48:53.126 -0300|2025-03-10 13:48:53.126 -0300|                             |132       |                                                                                                      |
|63 |HEMMER            |2025-03-10 13:48:53.329 -0300|2025-03-10 13:48:53.329 -0300|                             |170       |                                                                                                      |
|65 |ITAIPAVA          |2025-03-10 13:48:53.721 -0300|2025-03-10 13:48:53.721 -0300|                             |171       |                                                                                                      |
|66 |ITAMBÉ            |2025-03-10 13:48:53.928 -0300|2025-03-10 13:48:53.928 -0300|                             |172       |                                                                                                      |
|67 |JASMINE           |2025-03-10 13:48:54.127 -0300|2025-03-10 13:48:54.127 -0300|                             |129       |                                                                                                      |
|68 |KAISER            |2025-03-10 13:48:54.335 -0300|2025-03-10 13:48:54.335 -0300|                             |141       |                                                                                                      |
|69 |KELLOGG'S         |2025-03-10 13:48:54.544 -0300|2025-03-10 13:48:54.544 -0300|                             |173       |                                                                                                      |
|71 |KICALDO           |2025-03-10 13:48:54.959 -0300|2025-03-10 13:48:54.959 -0300|                             |174       |                                                                                                      |
|72 |KNORR             |2025-03-10 13:48:55.166 -0300|2025-03-10 13:48:55.166 -0300|                             |132       |                                                                                                      |
|73 |KORIN             |2025-03-10 13:48:55.377 -0300|2025-03-10 13:48:55.377 -0300|                             |176       |                                                                                                      |
|74 |LACTA             |2025-03-10 13:48:55.588 -0300|2025-03-10 13:48:55.588 -0300|                             |150       |                                                                                                      |
|75 |LIPTON            |2025-03-10 13:48:55.798 -0300|2025-03-10 13:48:55.798 -0300|                             |132       |                                                                                                      |
|77 |MÃE TERRA         |2025-03-10 13:48:56.213 -0300|2025-03-10 13:48:56.213 -0300|                             |132       |                                                                                                      |
|78 |MAGGI             |2025-03-10 13:48:56.426 -0300|2025-03-10 13:48:56.426 -0300|                             |149       |                                                                                                      |
|79 |MAGNETO           |2025-03-10 13:48:56.634 -0300|2025-03-10 13:48:56.634 -0300|                             |180       |                                                                                                      |
|80 |MAGUARY           |2025-03-10 13:48:56.845 -0300|2025-03-10 13:48:56.845 -0300|                             |181       |                                                                                                      |
|82 |MARBA             |2025-03-10 13:48:57.264 -0300|2025-03-10 13:48:57.264 -0300|                             |185       |                                                                                                      |
|83 |MARILAN           |2025-03-10 13:48:57.473 -0300|2025-03-10 13:48:57.473 -0300|                             |146       |                                                                                                      |
|84 |MELITTA           |2025-03-10 13:48:57.681 -0300|2025-03-10 13:48:57.681 -0300|                             |186       |                                                                                                      |
|85 |MINOTAURO         |2025-03-10 13:48:57.888 -0300|2025-03-10 13:48:57.888 -0300|                             |187       |                                                                                                      |
|86 |MOÇA              |2025-03-10 13:48:58.094 -0300|2025-03-10 13:48:58.094 -0300|                             |149       |                                                                                                      |
|88 |MONSTER           |2025-03-10 13:48:58.516 -0300|2025-03-10 13:48:58.516 -0300|                             |144       |                                                                                                      |
|89 |NEGRESCO          |2025-03-10 13:48:58.726 -0300|2025-03-10 13:48:58.726 -0300|                             |149       |                                                                                                      |
|90 |NESCAFÉ           |2025-03-10 13:48:58.934 -0300|2025-03-10 13:48:58.934 -0300|                             |149       |                                                                                                      |
|91 |NESCAU            |2025-03-10 13:48:59.144 -0300|2025-03-10 13:48:59.144 -0300|                             |149       |                                                                                                      |
|92 |NESTLÉ            |2025-03-10 13:48:59.350 -0300|2025-03-10 13:48:59.350 -0300|                             |179       |                                                                                                      |
|94 |NINHO             |2025-03-10 13:48:59.758 -0300|2025-03-10 13:48:59.758 -0300|                             |188       |                                                                                                      |
|95 |NUDE.             |2025-03-10 13:48:59.963 -0300|2025-03-10 13:48:59.963 -0300|                             |190       |                                                                                                      |
|96 |OPA               |2025-03-10 13:49:00.176 -0300|2025-03-10 13:49:00.176 -0300|                             |191       |                                                                                                      |
|97 |PANCO             |2025-03-10 13:49:00.385 -0300|2025-03-10 13:49:00.385 -0300|                             |90        |                                                                                                      |
|99 |PASSATEMPO        |2025-03-10 13:49:00.804 -0300|2025-03-10 13:49:00.804 -0300|                             |149       |                                                                                                      |
|100|PAULISTA          |2025-03-10 13:49:01.008 -0300|2025-03-10 13:49:01.008 -0300|                             |126       |                                                                                                      |
|101|PEPSI TWIST       |2025-03-10 13:49:01.216 -0300|2025-03-10 13:49:01.216 -0300|                             |130       |                                                                                                      |
|102|PEPSI             |2025-03-10 13:49:01.439 -0300|2025-03-10 13:49:01.439 -0300|                             |130       |                                                                                                      |
|103|PERDIGÃO          |2025-03-10 13:49:01.655 -0300|2025-03-10 13:49:01.655 -0300|                             |192       |                                                                                                      |
