|id |id_grupo_usuario_adm|id_permissao_adm|createdAt                    |updatedAt                    |
|---|--------------------|----------------|-----------------------------|-----------------------------|
|1  |1                   |1               |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|2  |1                   |2               |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|3  |1                   |3               |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|4  |1                   |4               |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|5  |1                   |5               |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|6  |1                   |6               |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|7  |1                   |7               |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|8  |1                   |8               |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|9  |1                   |9               |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|10 |1                   |10              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|11 |1                   |11              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|12 |1                   |12              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|13 |1                   |13              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|14 |1                   |14              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|15 |1                   |15              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|16 |1                   |16              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|17 |1                   |17              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|18 |1                   |18              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|19 |1                   |19              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|20 |1                   |20              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|21 |1                   |21              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|22 |1                   |22              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|23 |1                   |23              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|24 |1                   |24              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|25 |1                   |25              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|26 |1                   |26              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|27 |1                   |27              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|28 |1                   |28              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|29 |1                   |29              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|30 |1                   |30              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|31 |1                   |31              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|32 |1                   |32              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|33 |1                   |33              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|34 |1                   |34              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|35 |1                   |35              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|36 |1                   |36              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|37 |1                   |37              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|38 |1                   |38              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|39 |1                   |39              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|40 |1                   |40              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|41 |1                   |41              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|42 |1                   |42              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|43 |1                   |43              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|44 |1                   |44              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|45 |1                   |45              |2024-07-30 16:12:12.747 -0300|2024-07-30 16:12:12.747 -0300|
|46 |1                   |46              |2025-01-20 10:16:21.504 -0300|2025-01-20 10:16:21.504 -0300|
|47 |1                   |47              |2025-01-20 10:16:21.504 -0300|2025-01-20 10:16:21.504 -0300|
|48 |1                   |48              |2025-01-20 10:16:21.504 -0300|2025-01-20 10:16:21.504 -0300|
|49 |1                   |49              |2025-01-20 10:16:21.504 -0300|2025-01-20 10:16:21.504 -0300|
|50 |1                   |50              |2025-01-20 10:16:21.504 -0300|2025-01-20 10:16:21.504 -0300|
