|id |id_usuario|pontos|tipo_origem          |origem_id|data_expiracao               |observacoes                                                                                                                                                     |createdAt                    |updatedAt                    |status  |
|27 |27.553    |50    |bonus                |         |2026-12-07 17:48:16.930 -0300|Pontos extras por comentar após pesquisa - 50 pontos                                                                                                            |2025-12-07 17:48:16.930 -0300|2025-12-07 17:48:16.930 -0300|ativo   |
|28 |27.555    |100   |bonus                |         |2026-12-12 12:12:23.216 -0300|Cadastro completo - 100 pontos                                                                                                                                  |2025-12-12 12:12:23.217 -0300|2025-12-12 12:12:23.217 -0300|ativo   |
|29 |27.555    |50    |pesquisa_subcategoria|6        |2026-12-12 12:25:06.562 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-12-12 12:25:06.563 -0300|2025-12-12 12:25:06.563 -0300|ativo   |
|30 |27.555    |55    |pesquisa_produto     |72       |2026-12-12 12:25:06.757 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-12-12 12:25:06.757 -0300|2025-12-12 12:25:06.757 -0300|ativo   |
|31 |27.555    |50    |bonus                |         |2026-12-12 12:25:44.484 -0300|Pontos extras por comentar após pesquisa - 50 pontos                                                                                                            |2025-12-12 12:25:44.484 -0300|2025-12-12 12:25:44.484 -0300|ativo   |
|32 |27.557    |100   |bonus                |         |2026-12-14 20:22:47.325 -0300|Cadastro completo - 100 pontos                                                                                                                                  |2025-12-14 20:22:47.325 -0300|2025-12-14 20:22:47.325 -0300|ativo   |
|33 |27.557    |50    |pesquisa_subcategoria|104      |2026-12-14 20:38:35.069 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-12-14 20:38:35.070 -0300|2025-12-14 20:38:35.070 -0300|ativo   |
|34 |27.557    |55    |pesquisa_produto     |214      |2026-12-14 20:38:35.275 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-12-14 20:38:35.275 -0300|2025-12-14 20:38:35.275 -0300|ativo   |
|35 |27.557    |50    |pesquisa_subcategoria|3        |2026-12-14 20:45:41.656 -0300|Pontos ganhos por responder questionário - 50 pontos                                                                                                            |2025-12-14 20:45:41.656 -0300|2025-12-14 20:45:41.656 -0300|ativo   |
|36 |27.557    |55    |pesquisa_produto     |298      |2026-12-14 20:45:41.851 -0300|Pontos ganhos por responder questionário - 55 pontos                                                                                                            |2025-12-14 20:45:41.852 -0300|2025-12-14 20:45:41.852 -0300|ativo   |
