|id |id_usuario|id_pesquisa_produto|id_pesquisa_subcategoria|id_resposta_pesquisa|id_produto|comentario                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |createdAt                    |updatedAt                    |deletedAt|
|18 |27.558    |                   |307                     |                    |3.280     |Um dos melhores doces que eu já comi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2025-12-16 19:07:27.398 -0300|2025-12-16 19:07:27.398 -0300|         |
|19 |27.564    |                   |284                     |                    |2.799     |Muito bom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |2025-12-17 11:02:27.923 -0300|2025-12-17 11:02:27.923 -0300|         |
|20 |27.558    |                   |286                     |                    |5.514     |Eu acho que tem quem teve a ideia de embalar o camarão e vender no mercado uma boa ideia porque produto fica limpo e agradável para ter sua consumismo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |2025-12-17 17:57:18.647 -0300|2025-12-17 17:57:18.647 -0300|         |
|21 |27.558    |42                 |                        |                    |4.398     |Até compraria mais um chocolate muito bom só que é um pouquinho caro a maioria das pessoas que bebem é as crianças e não acontecer caro as pessoas acaba comprando menos às vezes acha outro outra marca de chocolate acaba roncando mais em conta por se ele ficar mas um chocolate excelente                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |2025-12-17 18:00:20.676 -0300|2025-12-17 18:00:20.676 -0300|         |
|22 |27.558    |42                 |                        |                    |4.692     |Eu gosto muito bom gostaria de provar mais uma vez                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |2025-12-17 18:02:42.399 -0300|2025-12-17 18:02:42.399 -0300|         |
|23 |27.558    |                   |263                     |                    |6.587     |Os produtos muito bom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |2025-12-17 18:05:50.155 -0300|2025-12-17 18:05:50.155 -0300|         |
|24 |27.558    |                   |138                     |                    |2.475     |Tá nas casas não pode faltar um macarrão macarrão é um comprimento algo que precisa quando falta um alimento o macarrão fica além de ser fácil de fazer é muito gostoso                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |2025-12-17 18:08:42.053 -0300|2025-12-17 18:08:42.053 -0300|         |
|25 |27.558    |307                |                        |                    |2.464     |Ao suco de caixinha tudo de bom suco natural além de ser gostoso o gosto é muito agradável você é muito suculento nada é dá vontade de beber mais e mais e mais e mais a pessoa acaba ficando viciado de tanto tomar esse suco                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |2025-12-17 18:10:01.007 -0300|2025-12-17 18:10:01.007 -0300|         |
|26 |27.568    |                   |104                     |                    |3.028     |Essa marca em particular nunca provei. A embalagem é boa mas prefiro algo mais pratci                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |2025-12-24 15:17:43.294 -0300|2025-12-24 15:17:43.294 -0300|         |
|27 |27.568    |                   |311                     |                    |5.945     |Eu amo. Comprei quando lançou para experimentar e até hoje é meu favorito                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |2025-12-24 15:21:33.911 -0300|2025-12-24 15:21:33.911 -0300|         |
