|id |id_usuario|id_pesquisa_produto|id_pesquisa_subcategoria|id_resposta_pesquisa|id_produto|comentario                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |createdAt                    |updatedAt                    |deletedAt|
|67 |27.579    |                   |311                     |                    |5.945     |Adoro                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |2026-01-06 21:10:18.482 -0300|2026-01-06 21:10:18.482 -0300|         |
|68 |27.579    |                   |29                      |                    |2.372     |Amo, e consumo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |2026-01-06 21:14:11.229 -0300|2026-01-06 21:14:11.229 -0300|         |
|69 |27.625    |                   |260                     |                    |3.359     |Ameiiii!!!!!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |2026-01-06 23:47:12.048 -0300|2026-01-06 23:47:12.048 -0300|         |
|70 |27.625    |                   |195                     |                    |6.570     |Ameiiii amo fini!!!!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2026-01-06 23:52:06.671 -0300|2026-01-06 23:52:06.671 -0300|         |
|71 |27.625    |                   |104                     |                    |3.028     |Amooo!!!!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |2026-01-06 23:55:22.825 -0300|2026-01-06 23:55:22.825 -0300|         |
|72 |27.585    |                   |29                      |                    |4.397     |Amei responder essa pesquisa!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |2026-01-09 17:35:07.992 -0300|2026-01-09 17:35:07.992 -0300|         |
|73 |27.631    |                   |158                     |                    |4.308     |Já provei algumas vezes essa marca e digo que adorei então não tenho o que reclamar adoro a qualidade e o sabor e como é produzido e os ingredientes composto                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |2026-01-10 02:41:07.305 -0300|2026-01-10 02:41:07.305 -0300|         |
|74 |27.631    |                   |26                      |                    |6.488     |Eu uso esse produto no meu dia a dia para manter na dieta e ter qualidade de vida...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2026-01-10 10:09:03.055 -0300|2026-01-10 10:09:03.055 -0300|         |
|75 |27.632    |                   |104                     |                    |3.028     |Bom produto                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |2026-01-10 12:12:34.169 -0300|2026-01-10 12:12:34.169 -0300|         |
|76 |27.632    |                   |311                     |                    |5.945     |Gostei quando bebi no churrasco na casa do meu pai                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |2026-01-10 12:16:32.493 -0300|2026-01-10 12:16:32.493 -0300|         |
|77 |27.633    |                   |104                     |                    |3.028     |Eu adorei a pesquisa , o produto é muito bom.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |2026-01-11 17:13:11.414 -0300|2026-01-11 17:13:11.414 -0300|         |
|78 |27.633    |                   |29                      |                    |2.372     |Eu adorei a pesquisa e eu consumo sempre esse achocolatado é uma delícia                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |2026-01-11 17:18:25.391 -0300|2026-01-11 17:18:25.391 -0300|         |
|79 |27.635    |                   |74                      |                    |5.082     |Ótimo m                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |2026-01-11 19:28:08.396 -0300|2026-01-11 19:28:08.396 -0300|         |
|80 |27.636    |                   |108                     |                    |2.626     |Produto Muito Bom, Eu Recomendo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |2026-01-12 15:35:56.759 -0300|2026-01-12 15:35:56.759 -0300|         |
|81 |23.119    |                   |310                     |                    |4.361     |Eu gostei demais                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |2026-01-12 16:57:51.594 -0300|2026-01-12 16:57:51.594 -0300|         |
|82 |27.617    |                   |29                      |                    |2.372     |Amei ❤️                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |2026-01-13 16:58:30.873 -0300|2026-01-13 16:58:30.873 -0300|         |
|83 |27.617    |                   |30                      |                    |6.289     |Amei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2026-01-13 17:04:27.639 -0300|2026-01-13 17:04:27.639 -0300|         |
|84 |27.617    |                   |196                     |                    |2.447     |Amei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2026-01-13 17:16:38.002 -0300|2026-01-13 17:16:38.002 -0300|         |
|85 |27.638    |                   |104                     |                    |3.028     |Ótimo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |2026-01-14 00:35:45.281 -0300|2026-01-14 00:35:45.281 -0300|         |
|86 |27.638    |                   |279                     |                    |3.311     |Bom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |2026-01-14 00:39:26.057 -0300|2026-01-14 00:39:26.057 -0300|         |
|87 |27.617    |                   |201                     |                    |2.455     |Amei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2026-01-14 19:03:48.024 -0300|2026-01-14 19:03:48.024 -0300|         |
|88 |27.617    |49                 |                        |                    |4.035     |Amei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2026-01-14 19:05:36.270 -0300|2026-01-14 19:05:36.270 -0300|         |
|89 |27.617    |49                 |                        |                    |4.035     |Amei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2026-01-14 19:08:00.193 -0300|2026-01-14 19:08:00.193 -0300|         |
|90 |27.617    |70                 |                        |                    |3.118     |Amei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2026-01-16 19:37:14.604 -0300|2026-01-16 19:37:14.604 -0300|         |
|91 |27.617    |                   |138                     |                    |2.471     |Amei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2026-01-16 19:46:22.258 -0300|2026-01-16 19:46:22.258 -0300|         |
|92 |27.642    |                   |104                     |                    |3.028     |Muito bom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |2026-01-16 23:47:21.902 -0300|2026-01-16 23:47:21.902 -0300|         |
|93 |27.642    |                   |311                     |                    |5.945     |Bom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |2026-01-16 23:51:43.584 -0300|2026-01-16 23:51:43.584 -0300|         |
|94 |27.642    |                   |29                      |                    |2.372     |Bon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |2026-01-16 23:54:52.497 -0300|2026-01-16 23:54:52.497 -0300|         |
|95 |27.617    |49                 |                        |                    |6.587     |Amei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2026-01-17 00:23:13.864 -0300|2026-01-17 00:23:13.864 -0300|         |
|96 |27.617    |                   |239                     |                    |5.977     |Amei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2026-01-17 00:25:02.985 -0300|2026-01-17 00:25:02.985 -0300|         |
|97 |27.617    |                   |3                       |                    |2.477     |Amei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2026-01-17 00:27:14.054 -0300|2026-01-17 00:27:14.054 -0300|         |
|98 |27.617    |46                 |                        |                    |2.457     |Amei ❤️                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |2026-01-18 14:46:14.791 -0300|2026-01-18 14:46:14.791 -0300|         |
|99 |27.617    |                   |307                     |                    |3.280     |Amei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2026-01-18 14:49:12.381 -0300|2026-01-18 14:49:12.381 -0300|         |
|100|27.617    |49                 |                        |                    |6.587     |Amei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2026-01-18 14:52:26.927 -0300|2026-01-18 14:52:26.927 -0300|         |
|101|27.642    |                   |30                      |                    |6.289     |Bom priduto                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |2026-01-18 23:51:43.982 -0300|2026-01-18 23:51:43.982 -0300|         |
|102|27.642    |                   |196                     |                    |2.447     |Gostei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |2026-01-18 23:54:46.186 -0300|2026-01-18 23:54:46.186 -0300|         |
|103|27.642    |                   |201                     |                    |2.455     |Boa pefida                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |2026-01-18 23:57:37.474 -0300|2026-01-18 23:57:37.474 -0300|         |
|104|27.645    |                   |138                     |                    |2.471     |O produto Adria com ovos é muito bom. Gostei da cor, gostei do cheiro e da textura. Melhorias: poderiam inventar através da food science uma marca que já venha com os recheios.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |2026-01-21 08:27:39.210 -0300|2026-01-21 08:27:39.210 -0300|         |
|105|27.617    |                   |195                     |                    |6.512     |Amei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |2026-01-22 22:01:42.238 -0300|2026-01-22 22:01:42.238 -0300|         |
