|id |id_grupo_usuario_empresa|id_permissao_empresa|createdAt                    |updatedAt                    |
|71 |7                       |11                  |2026-01-28 17:00:10.817 -0300|2026-01-28 17:00:10.817 -0300|
|72 |8                       |1                   |2026-01-28 17:15:11.527 -0300|2026-01-28 17:15:11.527 -0300|
|73 |8                       |2                   |2026-01-28 17:15:11.532 -0300|2026-01-28 17:15:11.532 -0300|
|74 |8                       |3                   |2026-01-28 17:15:11.535 -0300|2026-01-28 17:15:11.535 -0300|
|75 |8                       |4                   |2026-01-28 17:15:11.539 -0300|2026-01-28 17:15:11.539 -0300|
|76 |8                       |5                   |2026-01-28 17:15:11.552 -0300|2026-01-28 17:15:11.552 -0300|
|77 |8                       |6                   |2026-01-28 17:15:11.559 -0300|2026-01-28 17:15:11.559 -0300|
|78 |8                       |7                   |2026-01-28 17:15:11.563 -0300|2026-01-28 17:15:11.563 -0300|
|79 |8                       |8                   |2026-01-28 17:15:11.568 -0300|2026-01-28 17:15:11.568 -0300|
|80 |8                       |9                   |2026-01-28 17:15:11.572 -0300|2026-01-28 17:15:11.572 -0300|
|81 |8                       |10                  |2026-01-28 17:15:11.575 -0300|2026-01-28 17:15:11.575 -0300|
|82 |8                       |11                  |2026-01-28 17:15:11.579 -0300|2026-01-28 17:15:11.579 -0300|
|83 |9                       |1                   |2026-01-28 17:18:06.575 -0300|2026-01-28 17:18:06.575 -0300|
|84 |9                       |2                   |2026-01-28 17:18:06.578 -0300|2026-01-28 17:18:06.578 -0300|
|85 |9                       |3                   |2026-01-28 17:18:06.582 -0300|2026-01-28 17:18:06.582 -0300|
|86 |9                       |4                   |2026-01-28 17:18:06.585 -0300|2026-01-28 17:18:06.585 -0300|
|87 |9                       |5                   |2026-01-28 17:18:06.588 -0300|2026-01-28 17:18:06.588 -0300|
|88 |9                       |6                   |2026-01-28 17:18:06.592 -0300|2026-01-28 17:18:06.592 -0300|
|89 |9                       |7                   |2026-01-28 17:18:06.598 -0300|2026-01-28 17:18:06.598 -0300|
|90 |9                       |8                   |2026-01-28 17:18:06.603 -0300|2026-01-28 17:18:06.603 -0300|
|91 |9                       |9                   |2026-01-28 17:18:06.607 -0300|2026-01-28 17:18:06.607 -0300|
|92 |9                       |10                  |2026-01-28 17:18:06.611 -0300|2026-01-28 17:18:06.611 -0300|
|93 |9                       |11                  |2026-01-28 17:18:06.614 -0300|2026-01-28 17:18:06.614 -0300|
|94 |10                      |1                   |2026-01-28 17:21:08.311 -0300|2026-01-28 17:21:08.311 -0300|
|95 |10                      |2                   |2026-01-28 17:21:08.317 -0300|2026-01-28 17:21:08.317 -0300|
|96 |10                      |3                   |2026-01-28 17:21:08.322 -0300|2026-01-28 17:21:08.322 -0300|
|97 |10                      |4                   |2026-01-28 17:21:08.326 -0300|2026-01-28 17:21:08.326 -0300|
|98 |10                      |5                   |2026-01-28 17:21:08.330 -0300|2026-01-28 17:21:08.330 -0300|
|99 |10                      |6                   |2026-01-28 17:21:08.334 -0300|2026-01-28 17:21:08.334 -0300|
|100|10                      |7                   |2026-01-28 17:21:08.339 -0300|2026-01-28 17:21:08.339 -0300|
|101|10                      |8                   |2026-01-28 17:21:08.343 -0300|2026-01-28 17:21:08.343 -0300|
|102|10                      |9                   |2026-01-28 17:21:08.355 -0300|2026-01-28 17:21:08.355 -0300|
|103|10                      |10                  |2026-01-28 17:21:08.360 -0300|2026-01-28 17:21:08.360 -0300|
|104|10                      |11                  |2026-01-28 17:21:08.368 -0300|2026-01-28 17:21:08.368 -0300|
|105|11                      |1                   |2026-01-29 10:30:06.317 -0300|2026-01-29 10:30:06.317 -0300|
|106|11                      |2                   |2026-01-29 10:30:06.324 -0300|2026-01-29 10:30:06.324 -0300|
|107|11                      |3                   |2026-01-29 10:30:06.330 -0300|2026-01-29 10:30:06.330 -0300|
|108|11                      |4                   |2026-01-29 10:30:06.335 -0300|2026-01-29 10:30:06.335 -0300|
|109|11                      |5                   |2026-01-29 10:30:06.339 -0300|2026-01-29 10:30:06.339 -0300|
|110|11                      |6                   |2026-01-29 10:30:06.346 -0300|2026-01-29 10:30:06.346 -0300|
|111|11                      |7                   |2026-01-29 10:30:06.351 -0300|2026-01-29 10:30:06.351 -0300|
|112|11                      |8                   |2026-01-29 10:30:06.355 -0300|2026-01-29 10:30:06.355 -0300|
|113|11                      |9                   |2026-01-29 10:30:06.358 -0300|2026-01-29 10:30:06.358 -0300|
|114|11                      |10                  |2026-01-29 10:30:06.361 -0300|2026-01-29 10:30:06.361 -0300|
|115|11                      |11                  |2026-01-29 10:30:06.366 -0300|2026-01-29 10:30:06.366 -0300|
|116|12                      |1                   |2026-01-29 11:50:30.426 -0300|2026-01-29 11:50:30.426 -0300|
|117|12                      |2                   |2026-01-29 11:50:30.437 -0300|2026-01-29 11:50:30.437 -0300|
|118|12                      |3                   |2026-01-29 11:50:30.447 -0300|2026-01-29 11:50:30.447 -0300|
|119|12                      |4                   |2026-01-29 11:50:30.453 -0300|2026-01-29 11:50:30.453 -0300|
|120|12                      |5                   |2026-01-29 11:50:30.457 -0300|2026-01-29 11:50:30.457 -0300|
|121|12                      |6                   |2026-01-29 11:50:30.467 -0300|2026-01-29 11:50:30.467 -0300|
|122|12                      |7                   |2026-01-29 11:50:30.471 -0300|2026-01-29 11:50:30.471 -0300|
|123|12                      |8                   |2026-01-29 11:50:30.478 -0300|2026-01-29 11:50:30.478 -0300|
|124|12                      |9                   |2026-01-29 11:50:30.485 -0300|2026-01-29 11:50:30.485 -0300|
|125|12                      |10                  |2026-01-29 11:50:30.488 -0300|2026-01-29 11:50:30.488 -0300|
|126|12                      |11                  |2026-01-29 11:50:30.492 -0300|2026-01-29 11:50:30.492 -0300|
|127|13                      |1                   |2026-01-29 11:53:04.734 -0300|2026-01-29 11:53:04.734 -0300|
|128|13                      |2                   |2026-01-29 11:53:04.741 -0300|2026-01-29 11:53:04.741 -0300|
|129|13                      |3                   |2026-01-29 11:53:04.744 -0300|2026-01-29 11:53:04.744 -0300|
|130|13                      |4                   |2026-01-29 11:53:04.747 -0300|2026-01-29 11:53:04.747 -0300|
|131|13                      |5                   |2026-01-29 11:53:04.751 -0300|2026-01-29 11:53:04.751 -0300|
|132|13                      |6                   |2026-01-29 11:53:04.754 -0300|2026-01-29 11:53:04.754 -0300|
|133|13                      |7                   |2026-01-29 11:53:04.761 -0300|2026-01-29 11:53:04.761 -0300|
|134|13                      |8                   |2026-01-29 11:53:04.764 -0300|2026-01-29 11:53:04.764 -0300|
|135|13                      |9                   |2026-01-29 11:53:04.767 -0300|2026-01-29 11:53:04.767 -0300|
|136|13                      |10                  |2026-01-29 11:53:04.771 -0300|2026-01-29 11:53:04.771 -0300|
